ticker,sector,universe_source
BSDE,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BAIK,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MAPA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BUKA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MSIN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CMRY,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PWON,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SRTG,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TMPO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MINA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
LUCY,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
HEAL,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AALI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
LPKR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
HMSP,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SIDO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AUTO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
INTP,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
FAST,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BYAN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SSMS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
HUMI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BDMN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MDIA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
WBSA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
OASA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SUPA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
GTSI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SCMA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CBDK,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
NSSS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
GMFI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MAPI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ACES,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
GJTL,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BMTR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
JSMR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CTRA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
YELO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BBYB,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MIKA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
CBRE,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MNCN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ASSA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PNLF,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SLIS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ZATA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SMSM,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BBHI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
PRDL,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
TRIN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
INDO,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
JECX,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MLPT,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BEEF,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
WMUU,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MEJA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
JELI,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BBKP,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
KDTN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
ULTJ,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
AVIA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
KBLV,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SRSN,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MPMX,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
MBSS,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
BNGA,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SMDR,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
SNLK,UNKNOWN,IDX_ACTIVE_LIQUIDITY_ADD
